Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
2008-04-13,,47.0,32.0,0.0,0.0,0.0
2008-04-20,,69.0,48.0,0.0,0.0,0.0
2008-04-27,,56.0,37.0,0.03,0.0,0.0
2008-05-04,,69.0,36.0,0.0,0.0,0.0
2008-05-11,,61.0,42.0,0.0,0.0,0.0
2008-05-18,,71.0,47.0,0.0,0.0,0.0
2008-05-25,,87.0,59.0,0.77,0.0,0.0
2008-06-01,,85.0,59.0,0.0,0.0,0.0
2008-06-08,,82.0,66.0,2.45,0.0,0.0
2008-06-15,,82.0,67.0,0.0,0.0,0.0
2008-06-22,,82.0,62.0,0.0,0.0,0.0
2008-06-29,,81.0,62.0,0.0,0.0,0.0
2008-07-06,,88.0,68.0,0.0,0.0,0.0
2008-07-13,,83.0,59.0,0.0,0.0,0.0
2008-07-20,,91.0,68.0,0.0,0.0,0.0
2008-07-27,,88.0,66.0,1.4,0.0,0.0
2008-08-03,,95.0,72.0,0.0,0.0,0.0
2008-08-10,,79.0,66.0,0.0,0.0,0.0
2008-08-17,,81.0,61.0,0.0,0.0,0.0
2008-08-24,,79.0,58.0,0.0,0.0,0.0
2008-08-31,,85.0,60.0,0.0,0.0,0.0
2008-09-07,,71.0,50.0,0.0,0.0,0.0
2008-09-14,,64.0,53.0,0.0,0.0,0.0
2008-09-21,,78.0,57.0,0.0,0.0,0.0
2008-09-28,,71.0,56.0,0.0,0.0,0.0
2008-10-05,,80.0,59.0,0.0,0.0,0.0
2008-10-12,,77.0,65.0,0.0,0.0,0.0
2008-10-19,,71.0,47.0,0.0,0.0,0.0
2008-10-26,,55.0,36.0,0.0,0.0,0.0
2008-11-02,,74.0,51.0,0.0,0.0,0.0
2008-11-09,,33.0,22.0,0.0,0.0,0.0
2008-11-16,,46.0,25.0,0.0,0.0,0.0
2008-11-23,,55.0,24.0,0.0,0.0,0.0
2008-11-30,,33.0,26.0,0.3,3.0,2.0
2008-12-07,,25.0,12.0,0.0,0.0,2.0
2008-12-14,,54.0,1.0,0.0,0.1,0.0
